location,type,appt_wait,no_appt_wait,captured,day
long-beach,field-office,16.0,61.0,2025-09-15 09:00:00,1
los-angeles,field-office,17.0,45.0,2025-09-15 09:00:00,1
los-angeles-metro-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
lincoln-park,field-office,2.0,15.0,2025-09-15 09:00:00,1
west-hollywood,field-office,4.0,20.0,2025-09-15 09:00:00,1
hollywood,field-office,11.0,25.0,2025-09-15 09:00:00,1
glendale,field-office,16.0,63.0,2025-09-15 09:00:00,1
montebello,field-office,5.0,25.0,2025-09-15 09:00:00,1
bell-gardens,field-office,18.0,42.0,2025-09-15 09:00:00,1
inglewood,field-office,,,2025-09-15 09:00:00,1
pasadena,field-office,7.0,29.0,2025-09-15 09:00:00,1
culver-city,field-office,7.0,24.0,2025-09-15 09:00:00,1
el-monte,field-office,6.0,43.0,2025-09-15 09:00:00,1
santa-monica,field-office,17.0,47.0,2025-09-15 09:00:00,1
hawthorne,field-office,12.0,34.0,2025-09-15 09:00:00,1
gardena-commercial-drive-test-center,field-office,0.0,11.0,2025-09-15 09:00:00,1
whittier,field-office,8.0,27.0,2025-09-15 09:00:00,1
bellflower,field-office,1.0,10.0,2025-09-15 09:00:00,1
compton,field-office,8.0,33.0,2025-09-15 09:00:00,1
torrance,field-office,9.0,50.0,2025-09-15 09:00:00,1
san-pedro,field-office,14.0,41.0,2025-09-15 09:00:00,1
winnetka,field-office,5.0,26.0,2025-09-15 09:00:00,1
winnetka-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
thousand-oaks,field-office,14.0,40.0,2025-09-15 09:00:00,1
simi-valley,field-office,13.0,31.0,2025-09-15 09:00:00,1
van-nuys,field-office,16.0,32.0,2025-09-15 09:00:00,1
arleta,field-office,18.0,54.0,2025-09-15 09:00:00,1
west-covina,field-office,10.0,35.0,2025-09-15 09:00:00,1
fullerton,field-office,12.0,39.0,2025-09-15 09:00:00,1
placentia-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
westminster,field-office,15.0,47.0,2025-09-15 09:00:00,1
santa-ana,field-office,15.0,35.0,2025-09-15 09:00:00,1
costa-mesa,field-office,13.0,58.0,2025-09-15 09:00:00,1
san-marcos,field-office,15.0,30.0,2025-09-15 09:00:00,1
san-marcos-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
newhall,field-office,17.0,53.0,2025-09-15 09:00:00,1
oxnard,field-office,13.0,53.0,2025-09-15 09:00:00,1
santa-clara,field-office,24.0,72.0,2025-09-15 09:00:00,1
rancho-cucamonga,field-office,11.0,48.0,2025-09-15 09:00:00,1
pomona,field-office,25.0,59.0,2025-09-15 09:00:00,1
norco,field-office,20.0,53.0,2025-09-15 09:00:00,1
fontana-commercial-drive-test-center,field-office,0.0,21.0,2025-09-15 09:00:00,1
king-city,field-office,,,2025-09-15 09:00:00,1
daly-city,field-office,19.0,56.0,2025-09-15 09:00:00,1
redwood-city,field-office,19.0,44.0,2025-09-15 09:00:00,1
yuba-city,field-office,8.0,20.0,2025-09-15 09:00:00,1
crescent-city,field-office,,,2025-09-15 09:00:00,1
fontana,field-office,18.0,35.0,2025-09-15 09:00:00,1
rancho-san-diego-industry-business-center,field-office,0.0,0.0,2025-09-15 09:00:00,1
rancho-san-diego-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
chula-vista,field-office,14.0,39.0,2025-09-15 09:00:00,1
san-ysidro,field-office,10.0,44.0,2025-09-15 09:00:00,1
san-diego,field-office,20.0,76.0,2025-09-15 09:00:00,1
el-cajon,field-office,12.0,28.0,2025-09-15 09:00:00,1
el-centro,field-office,4.0,11.0,2025-09-15 09:00:00,1
oceanside,field-office,10.0,59.0,2025-09-15 09:00:00,1
temecula,field-office,12.0,39.0,2025-09-15 09:00:00,1
brawley,field-office,17.0,22.0,2025-09-15 09:00:00,1
indio,field-office,15.0,26.0,2025-09-15 09:00:00,1
poway,field-office,11.0,32.0,2025-09-15 09:00:00,1
murrieta-express,field-office,0.0,0.0,2025-09-15 09:00:00,1
laguna-hills,field-office,,,2025-09-15 09:00:00,1
san-clemente,field-office,11.0,29.0,2025-09-15 09:00:00,1
san-luis-obispo,field-office,5.0,20.0,2025-09-15 09:00:00,1
san-diego-clairemont,field-office,14.0,53.0,2025-09-15 09:00:00,1
palm-desert,field-office,10.0,19.0,2025-09-15 09:00:00,1
blythe,field-office,,,2025-09-15 09:00:00,1
palm-springs,field-office,3.0,16.0,2025-09-15 09:00:00,1
twentynine-palms,field-office,,,2025-09-15 09:00:00,1
needles,field-office,5.0,6.0,2025-09-15 09:00:00,1
victorville,field-office,5.0,20.0,2025-09-15 09:00:00,1
barstow,field-office,13.0,49.0,2025-09-15 09:00:00,1
san-bernardino-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
riverside,field-office,17.0,41.0,2025-09-15 09:00:00,1
san-bernardino,field-office,20.0,39.0,2025-09-15 09:00:00,1
riverside-east,field-office,16.0,59.0,2025-09-15 09:00:00,1
redlands,field-office,17.0,54.0,2025-09-15 09:00:00,1
ridgecrest,field-office,15.0,43.0,2025-09-15 09:00:00,1
hemet,field-office,2.0,18.0,2025-09-15 09:00:00,1
ventura,field-office,8.0,27.0,2025-09-15 09:00:00,1
santa-barbara,field-office,8.0,36.0,2025-09-15 09:00:00,1
santa-paula,field-office,11.0,34.0,2025-09-15 09:00:00,1
goleta,field-office,12.0,42.0,2025-09-15 09:00:00,1
delano,field-office,10.0,18.0,2025-09-15 09:00:00,1
hanford,field-office,11.0,32.0,2025-09-15 09:00:00,1
arvin,field-office,11.0,34.0,2025-09-15 09:00:00,1
lake-isabella,field-office,,,2025-09-15 09:00:00,1
shafter,field-office,,,2025-09-15 09:00:00,1
taft,field-office,,,2025-09-15 09:00:00,1
porterville,field-office,4.0,19.0,2025-09-15 09:00:00,1
coalinga,field-office,,,2025-09-15 09:00:00,1
bakersfield,field-office,13.0,29.0,2025-09-15 09:00:00,1
bakersfield-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
bakersfield-southwest,field-office,14.0,33.0,2025-09-15 09:00:00,1
visalia,field-office,10.0,29.0,2025-09-15 09:00:00,1
tulare,field-office,0.0,7.0,2025-09-15 09:00:00,1
reedley,field-office,10.0,21.0,2025-09-15 09:00:00,1
paso-robles,field-office,6.0,31.0,2025-09-15 09:00:00,1
lompoc,field-office,19.0,45.0,2025-09-15 09:00:00,1
santa-maria,field-office,6.0,21.0,2025-09-15 09:00:00,1
bishop,field-office,,,2025-09-15 09:00:00,1
lancaster,field-office,16.0,62.0,2025-09-15 09:00:00,1
mariposa,field-office,,,2025-09-15 09:00:00,1
clovis,field-office,17.0,46.0,2025-09-15 09:00:00,1
madera,field-office,8.0,27.0,2025-09-15 09:00:00,1
fresno,field-office,16.0,59.0,2025-09-15 09:00:00,1
fresno-north,field-office,5.0,13.0,2025-09-15 09:00:00,1
fresno-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
mendota,field-office,,,2025-09-15 09:00:00,1
fresno-commercial-drive-test-center,field-office,0.0,44.0,2025-09-15 09:00:00,1
merced,field-office,8.0,62.0,2025-09-15 09:00:00,1
los-banos,field-office,,,2025-09-15 09:00:00,1
salinas-commercial-drive-test-center,field-office,0.0,0.0,2025-09-15 09:00:00,1
salinas,field-office,14.0,29.0,2025-09-15 09:00:00,1
watsonville,field-office,10.0,29.0,2025-09-15 09:00:00,1
seaside,field-office,16.0,60.0,2025-09-15 09:00:00,1
hollister,field-office,,,2025-09-15 09:00:00,1
san-mateo,field-office,18.0,47.0,2025-09-15 09:00:00,1
san-francisco,field-office,22.0,44.0,2025-09-15 09:00:00,1
oakland-coliseum,field-office,,,2025-09-15 09:00:00,1
mountain-view-industry-business-center,field-office,0.0,0.0,2025-09-15 09:00:00,1
mountain-view-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
los-gatos,field-office,17.0,45.0,2025-09-15 09:00:00,1
san-jose,field-office,18.0,59.0,2025-09-15 09:00:00,1
capitola,field-office,14.0,49.0,2025-09-15 09:00:00,1
fremont,field-office,21.0,54.0,2025-09-15 09:00:00,1
west-sacramento-commercial-drive-test-center,field-office,0.0,26.0,2025-09-15 09:00:00,1
sacramento,field-office,15.0,45.0,2025-09-15 09:00:00,1
sacramento-florin-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
sacramento-south,field-office,17.0,46.0,2025-09-15 09:00:00,1
carmichael,field-office,8.0,20.0,2025-09-15 09:00:00,1
oakland,field-office,12.0,45.0,2025-09-15 09:00:00,1
el-cerrito,field-office,15.0,41.0,2025-09-15 09:00:00,1
hayward,field-office,14.0,62.0,2025-09-15 09:00:00,1
vallejo,field-office,4.0,15.0,2025-09-15 09:00:00,1
napa,field-office,4.0,22.0,2025-09-15 09:00:00,1
fairfield-ibc,field-office,0.0,0.0,2025-09-15 09:00:00,1
fairfield,field-office,17.0,43.0,2025-09-15 09:00:00,1
tracy,field-office,12.0,55.0,2025-09-15 09:00:00,1
stockton,field-office,7.0,31.0,2025-09-15 09:00:00,1
pleasanton-stoneridge,field-office,12.0,35.0,2025-09-15 09:00:00,1
pleasanton,field-office,2.0,11.0,2025-09-15 09:00:00,1
pittsburg,field-office,21.0,45.0,2025-09-15 09:00:00,1
concord,field-office,13.0,22.0,2025-09-15 09:00:00,1
santa-rosa,field-office,1.0,9.0,2025-09-15 09:00:00,1
petaluma,field-office,2.0,9.0,2025-09-15 09:00:00,1
vacaville,field-office,11.0,38.0,2025-09-15 09:00:00,1
santa-teresa,field-office,23.0,41.0,2025-09-15 09:00:00,1
clearlake,field-office,0.0,0.0,2025-09-15 09:00:00,1
corte-madera,field-office,7.0,18.0,2025-09-15 09:00:00,1
novato,field-office,20.0,38.0,2025-09-15 09:00:00,1
gilroy,field-office,17.0,48.0,2025-09-15 09:00:00,1
manteca,field-office,17.0,42.0,2025-09-15 09:00:00,1
lodi,field-office,20.0,63.0,2025-09-15 09:00:00,1
san-andreas,field-office,,,2025-09-15 09:00:00,1
sonora,field-office,38.0,49.0,2025-09-15 09:00:00,1
south-lake-tahoe,field-office,16.0,33.0,2025-09-15 09:00:00,1
jackson,field-office,13.0,28.0,2025-09-15 09:00:00,1
modesto,field-office,18.0,53.0,2025-09-15 09:00:00,1
turlock,field-office,16.0,47.0,2025-09-15 09:00:00,1
fort-bragg,field-office,,,2025-09-15 09:00:00,1
ukiah,field-office,5.0,34.0,2025-09-15 09:00:00,1
lakeport,field-office,,,2025-09-15 09:00:00,1
garberville,field-office,,,2025-09-15 09:00:00,1
eureka,field-office,3.0,21.0,2025-09-15 09:00:00,1
weaverville,field-office,,,2025-09-15 09:00:00,1
yreka,field-office,0.0,61.0,2025-09-15 09:00:00,1
auburn,field-office,6.0,11.0,2025-09-15 09:00:00,1
truckee,field-office,19.0,32.0,2025-09-15 09:00:00,1
woodland,field-office,6.0,22.0,2025-09-15 09:00:00,1
davis,field-office,19.0,63.0,2025-09-15 09:00:00,1
colusa,field-office,,,2025-09-15 09:00:00,1
folsom,field-office,6.0,21.0,2025-09-15 09:00:00,1
placerville,field-office,20.0,58.0,2025-09-15 09:00:00,1
